   Line    |    Original     |       New       |   Improvement   |   Multiplier   
--------------------------------------------------------------------------------
    1      |       294       |       33        | 88.78% |      8.91x     
    2      |       332       |       22        | 93.37% |     15.09x     
    3      |        1        |        1        | 0.00% |      1.00x     
    4      |       406       |       40        | 90.15% |     10.15x     
    5      |        1        |        1        | 0.00% |      1.00x     
    6      |       420       |       49        | 88.33% |      8.57x     
    7      |        1        |        1        | 0.00% |      1.00x     
    8      |       305       |       48        | 84.26% |      6.35x     
    9      |        1        |        1        | 0.00% |      1.00x     
    10     |        5        |        5        | 0.00% |      1.00x     
    11     |        1        |        1        | 0.00% |      1.00x     
    12     |        1        |        1        | 0.00% |      1.00x     
    13     |        1        |        1        | 0.00% |      1.00x     
    14     |       642       |       110       | 82.87% |      5.84x     
    15     |       333       |       70        | 78.98% |      4.76x     
    16     |        1        |        1        | 0.00% |      1.00x     
    17     |       373       |       55        | 85.25% |      6.78x     
    18     |        1        |        1        | 0.00% |      1.00x     
    19     |       14        |       14        | 0.00% |      1.00x     
    20     |        1        |        1        | 0.00% |      1.00x     
    21     |       488       |       67        | 86.27% |      7.28x     
    22     |       256       |        1        | 99.61% |     256.00x    
    23     |        1        |        1        | 0.00% |      1.00x     
    24     |       256       |        3        | 98.83% |     85.33x     
    25     |       583       |       124       | 78.73% |      4.70x     
    26     |        1        |        1        | 0.00% |      1.00x     
    27     |       563       |       88        | 84.37% |      6.40x     
    28     |       447       |       80        | 82.10% |      5.59x     
    29     |       338       |       28        | 91.72% |     12.07x     
    30     |       256       |        1        | 99.61% |     256.00x    
    31     |        1        |        1        | 0.00% |      1.00x     
    32     |       256       |        1        | 99.61% |     256.00x    
    33     |       256       |        1        | 99.61% |     256.00x    
    34     |       256       |        1        | 99.61% |     256.00x    
    35     |       11        |       11        | 0.00% |      1.00x     
    36     |       256       |        1        | 99.61% |     256.00x    
    37     |       256       |        1        | 99.61% |     256.00x    
    38     |        1        |        1        | 0.00% |      1.00x     
    39     |        1        |        1        | 0.00% |      1.00x     
    40     |       939       |       184       | 80.40% |      5.10x     
    41     |       336       |       31        | 90.77% |     10.84x     
    42     |       349       |       34        | 90.26% |     10.26x     
    43     |       224       |       209       | 6.70% |      1.07x     
    44     |       308       |       32        | 89.61% |      9.62x     
    45     |        1        |        1        | 0.00% |      1.00x     
    46     |        1        |        1        | 0.00% |      1.00x     
    47     |       632       |       99        | 84.34% |      6.38x     
    48     |       280       |       14        | 95.00% |     20.00x     
    49     |        1        |        1        | 0.00% |      1.00x     
    50     |        1        |        1        | 0.00% |      1.00x     
    51     |       330       |       20        | 93.94% |     16.50x     
