2025-03-31T21:44:48.956998Z DEBUG trie::node_iter_metrics: exhausted trie node iteration final_metrics=TrieNodeIterMetrics { branch_nodes: 283, leaf_nodes: 11, hashed_cursor_seek_count: 33, hashed_cursor_advance_count: 11, walker_advance_count: 294 }
2025-03-31T21:44:48.957699Z DEBUG trie::node_iter_metrics: exhausted trie node iteration final_metrics=TrieNodeIterMetrics { branch_nodes: 321, leaf_nodes: 6, hashed_cursor_seek_count: 22, hashed_cursor_advance_count: 6, walker_advance_count: 332 }
2025-03-31T21:44:48.957962Z DEBUG trie::node_iter_metrics: exhausted trie node iteration final_metrics=TrieNodeIterMetrics { branch_nodes: 0, leaf_nodes: 10, hashed_cursor_seek_count: 1, hashed_cursor_advance_count: 10, walker_advance_count: 1 }
2025-03-31T21:44:48.958678Z DEBUG trie::node_iter_metrics: exhausted trie node iteration final_metrics=TrieNodeIterMetrics { branch_nodes: 383, leaf_nodes: 13, hashed_cursor_seek_count: 40, hashed_cursor_advance_count: 13, walker_advance_count: 406 }
2025-03-31T21:44:48.958852Z DEBUG trie::node_iter_metrics: exhausted trie node iteration final_metrics=TrieNodeIterMetrics { branch_nodes: 0, leaf_nodes: 3, hashed_cursor_seek_count: 1, hashed_cursor_advance_count: 3, walker_advance_count: 1 }
2025-03-31T21:44:48.959707Z DEBUG trie::node_iter_metrics: exhausted trie node iteration final_metrics=TrieNodeIterMetrics { branch_nodes: 393, leaf_nodes: 16, hashed_cursor_seek_count: 49, hashed_cursor_advance_count: 16, walker_advance_count: 420 }
2025-03-31T21:44:48.959789Z DEBUG trie::node_iter_metrics: exhausted trie node iteration final_metrics=TrieNodeIterMetrics { branch_nodes: 0, leaf_nodes: 1, hashed_cursor_seek_count: 1, hashed_cursor_advance_count: 1, walker_advance_count: 1 }
2025-03-31T21:44:48.960154Z DEBUG trie::node_iter_metrics: exhausted trie node iteration final_metrics=TrieNodeIterMetrics { branch_nodes: 288, leaf_nodes: 18, hashed_cursor_seek_count: 48, hashed_cursor_advance_count: 18, walker_advance_count: 305 }
2025-03-31T21:44:48.960505Z DEBUG trie::node_iter_metrics: exhausted trie node iteration final_metrics=TrieNodeIterMetrics { branch_nodes: 0, leaf_nodes: 12, hashed_cursor_seek_count: 1, hashed_cursor_advance_count: 12, walker_advance_count: 1 }
2025-03-31T21:44:48.960725Z DEBUG trie::node_iter_metrics: exhausted trie node iteration final_metrics=TrieNodeIterMetrics { branch_nodes: 2, leaf_nodes: 17, hashed_cursor_seek_count: 5, hashed_cursor_advance_count: 17, walker_advance_count: 5 }
2025-03-31T21:44:48.960935Z DEBUG trie::node_iter_metrics: exhausted trie node iteration final_metrics=TrieNodeIterMetrics { branch_nodes: 0, leaf_nodes: 10, hashed_cursor_seek_count: 1, hashed_cursor_advance_count: 10, walker_advance_count: 1 }
2025-03-31T21:44:48.960957Z DEBUG trie::node_iter_metrics: exhausted trie node iteration final_metrics=TrieNodeIterMetrics { branch_nodes: 0, leaf_nodes: 7, hashed_cursor_seek_count: 1, hashed_cursor_advance_count: 7, walker_advance_count: 1 }
2025-03-31T21:44:48.961156Z DEBUG trie::node_iter_metrics: exhausted trie node iteration final_metrics=TrieNodeIterMetrics { branch_nodes: 0, leaf_nodes: 2, hashed_cursor_seek_count: 1, hashed_cursor_advance_count: 2, walker_advance_count: 1 }
2025-03-31T21:44:48.961311Z DEBUG trie::node_iter_metrics: exhausted trie node iteration final_metrics=TrieNodeIterMetrics { branch_nodes: 577, leaf_nodes: 47, hashed_cursor_seek_count: 110, hashed_cursor_advance_count: 47, walker_advance_count: 642 }
2025-03-31T21:44:48.961676Z DEBUG trie::node_iter_metrics: exhausted trie node iteration final_metrics=TrieNodeIterMetrics { branch_nodes: 306, leaf_nodes: 31, hashed_cursor_seek_count: 70, hashed_cursor_advance_count: 31, walker_advance_count: 333 }
